user_id,submission_count,avg_cpu_time,avg_memory,avg_code_size,avg_total_lines,avg_line_spacing,avg_total_comments,avg_if_else_count,avg_total_variables,avg_loop_count,avg_capitalized_variable_names,avg_percentage_for_loops,avg_submission_count_per_problem,accepted_count,runtime_error_count,wrong_answer_count,time_limit_exceeded_count
u001207097,6,23,9202,144,11,0,0,1,3,0,0,0,2,3,1,2,0
u001207659,12,22,3153,314,16,0,0,3,4,2,0,67,2,7,0,5,0
u001260022,2,17,3000,147,10,0,0,2,3,0,3,0,2,1,1,0,0
u001262101,1,30,5980,531,20,0,0,2,4,4,0,75,1,1,0,0,0
u001272273,2,18,2940,124,6,0,0,0,3,0,1,50,1,2,0,0,0
u001315626,6,106,12651,295,16,0,1,3,3,2,1,83,2,2,1,3,0
u001429691,1,17,2940,104,8,0,0,0,3,1,0,0,1,1,0,0,0
u001463970,26,19,3564,196,9,0,0,2,2,1,1,38,1,20,0,6,0
u001464994,6,22,9193,124,7,1,0,1,2,0,1,0,2,4,1,1,0
u001490106,122,357,45176,281,17,0,0,3,3,2,1,62,2,70,14,32,6
u001491147,1,206,15540,1716,57,0,6,3,18,2,2,50,1,0,1,0,0
u001495709,19,130,28929,152,10,0,0,2,2,0,0,29,2,11,6,1,1
u001517800,1,2104,25060,216,7,0,0,0,3,1,2,100,1,0,0,0,1
u001547131,2,23,9160,93,9,0,0,2,3,0,2,0,2,1,0,1,0
u001565171,2,107,67532,136,9,0,0,0,3,1,0,50,1,2,0,0,0
u001577246,3,770,29121,141,10,0,0,0,3,1,0,67,2,1,0,2,0
u001609307,11,26,4040,190,13,0,2,1,3,0,0,45,1,9,2,0,0
u001636577,1,205,9308,72,5,0,0,1,1,0,0,0,1,1,0,0,0
u001672659,1,10,2568,132,11,0,1,1,3,1,2,100,1,1,0,0,0
u001687078,39,288,10690,211,11,0,0,2,2,1,1,58,1,21,5,10,3
u001689394,12,28,9123,433,19,0,0,6,4,2,0,83,6,1,5,6,0
u001695423,1,17,2940,90,9,0,0,3,1,0,0,0,1,1,0,0,0
u001746908,1,11,2568,75,2,0,0,0,0,0,0,0,1,0,0,1,0
u001751495,4,20,6046,112,8,0,0,1,1,0,0,0,2,0,0,4,0
u001769145,118,862,166497,561,27,0,2,2,5,2,1,74,2,52,18,28,20
u001834182,39,207,16658,113,7,0,0,1,1,0,1,33,1,28,2,9,0
u001839988,10,282,10494,354,24,0,0,2,5,2,1,43,1,6,2,2,0
u002010345,35,19,5060,173,8,0,0,1,1,1,0,43,5,6,3,25,0
u002023395,9,54,8718,86,4,0,0,0,1,0,0,22,1,8,0,1,0
u002067779,1,30,9088,67,2,0,0,1,0,0,0,0,1,1,0,0,0
u002128847,1,20,5572,27,2,0,0,0,1,0,0,0,1,1,0,0,0
u002135808,7,338,9095,153,11,0,0,1,3,1,0,36,1,4,0,2,1
u002166247,10,532,11648,314,20,0,3,2,4,2,0,30,2,6,0,2,2
u002180223,8,28,5896,175,8,0,0,2,0,1,0,21,1,8,0,0,0
u002193969,25,12,3355,353,14,0,0,1,4,2,0,44,3,9,10,4,0
u002280517,16,32,5858,365,16,0,0,1,2,3,1,69,4,4,0,3,0
u002438394,4,1256,176582,255,14,0,0,1,4,2,0,100,1,2,0,0,2
u002459665,320,219,17764,335,19,0,1,2,4,1,1,58,2,217,14,86,3
u002492076,8,29,5896,108,6,0,0,1,1,1,0,33,1,8,0,0,0
u002521668,1,17,2940,25,1,0,0,0,0,0,0,0,1,1,0,0,0
u002539468,102,436,35699,654,28,0,3,3,5,2,0,63,1,69,8,20,5
u002611201,7,659,32901,223,10,0,0,1,2,1,0,29,2,3,0,4,0
u002625175,72,891,62136,530,31,0,0,2,5,2,0,73,2,36,17,11,8
u002663801,121,1094,79814,436,24,0,1,2,6,2,0,75,2,48,15,28,30
u002719504,1,17,2940,42,3,0,0,0,2,0,1,0,1,1,0,0,0
u002765126,21,728,97459,672,35,1,3,3,5,2,1,54,2,12,1,8,0
u002813843,1,17,3064,324,22,0,0,5,3,1,0,0,1,1,0,0,0
u002824787,6,34,3249,169,8,0,0,1,2,1,1,67,2,4,1,1,0
u002889222,2,90,9132,208,14,0,0,2,4,1,1,50,1,2,0,0,0
u002904494,3,2104,3224,159,11,0,0,0,4,2,0,100,3,0,0,0,3
u002919555,1,19,3444,316,17,0,1,2,4,1,0,0,1,1,0,0,0
u002921375,1,20,5548,69,7,0,0,1,2,0,0,0,1,1,0,0,0
u003018968,4,24,3110,132,9,0,0,2,3,1,0,75,1,3,0,1,0
u003019316,32,790,88696,656,29,0,1,3,7,4,2,79,2,14,4,13,1
u003034853,7,299,9145,300,12,0,0,1,3,1,0,43,7,1,0,6,0
u003087820,1,17,2940,135,8,0,0,1,0,0,0,0,1,0,0,1,0
u003121914,2,111,3636,479,20,0,1,4,4,2,0,50,1,2,0,0,0
u003142309,50,462,10928,655,30,0,4,3,4,2,1,46,5,10,14,17,9
u003157425,2,68,61766,230,15,0,0,3,2,1,0,0,2,1,0,1,0
u003181964,12,12,3798,116,7,0,0,0,1,0,0,42,4,2,6,1,0
u003294061,1,3030,53212,997,43,0,2,4,6,3,1,33,1,1,0,0,0
u003309334,4,10475,10354,380,24,0,0,4,5,2,1,100,2,2,0,1,1
u003353838,2,18,3062,176,14,0,0,1,5,1,0,100,2,1,0,1,0
u003475507,104,672,73911,323,19,0,0,2,4,2,0,76,3,48,5,29,22
u003501233,110,22,3955,107,7,0,0,1,2,0,0,19,2,54,21,35,0
u003505857,31,28,9368,297,10,0,1,2,2,0,1,13,1,23,1,7,0
u003545532,1,210,16052,111,6,0,0,0,2,0,0,0,1,0,0,1,0
u003581113,19,407,6868,604,30,0,0,5,7,2,2,68,1,12,3,4,0
u003644389,73,720,26763,323,21,0,0,2,4,2,0,66,2,27,13,22,11
u003647700,2,15,3824,70,6,0,0,0,2,0,0,50,1,1,1,0,0
u003652013,15,187,7598,212,15,0,1,1,3,1,1,73,2,7,5,3,0
u003684951,35,31,5559,99,5,0,0,1,1,1,0,27,1,33,1,1,0
u003762655,18,35,6510,176,9,0,0,1,2,1,0,25,2,10,4,4,0
u003849711,1,17,3060,215,15,0,0,1,5,1,0,100,1,1,0,0,0
u003855259,18,407,17073,327,21,0,0,2,5,1,4,34,2,9,0,8,1
u003871484,1,17,2940,57,4,0,0,0,1,0,1,0,1,1,0,0,0
u003873207,9,556,52100,1001,42,0,0,2,4,2,0,76,2,3,4,1,1
u003899575,6,544,116409,230,10,0,0,1,4,0,2,17,1,4,0,1,1
u003926785,60,960,152277,418,24,0,0,3,3,2,1,72,2,21,0,26,13
u003928116,38,18,2959,103,6,0,0,1,2,0,0,13,1,32,0,6,0
u003929306,1,20,5592,320,19,0,0,1,5,3,2,67,1,1,0,0,0
u003958598,37,442,44042,259,16,0,1,2,3,1,1,65,2,18,4,13,2
u003984259,26,882,9130,313,15,0,0,2,3,2,0,54,1,26,0,0,0
u003984315,2,20,5576,45,3,0,0,0,0,0,0,0,1,2,0,0,0
u004025573,128,214,11698,311,22,0,1,2,4,1,1,61,2,71,7,46,4
u004062344,2,19,6116,104,8,0,0,0,2,0,0,0,1,2,0,0,0
u004066288,2,28,9136,74,5,0,0,1,1,0,0,0,2,1,0,1,0
u004108273,12,204,10512,130,9,0,0,2,2,0,1,8,1,4,2,6,0
u004192101,10,4953,17280,531,27,0,2,0,5,4,1,71,2,6,0,4,0
u004208081,29,137,7327,367,22,0,0,3,5,2,0,75,2,16,2,11,0
u004233621,13,25,5304,113,6,0,0,1,1,0,0,23,2,4,0,9,0
u004240050,1,34,9120,297,22,0,1,7,2,0,0,0,1,1,0,0,0
u004271495,10,1517,22123,1088,54,1,0,2,6,2,1,80,5,2,1,2,5
u004312392,116,355,68141,409,17,0,0,2,4,2,2,55,2,67,25,18,6
u004330503,4,20,5586,115,7,0,0,1,2,0,0,12,1,4,0,0,0
u004342119,2,26,9050,88,4,0,0,0,1,0,0,50,2,2,0,0,0
u004410499,3,23,5589,166,9,0,0,2,3,0,0,33,1,3,0,0,0
u004423772,184,423,81784,492,21,0,0,3,5,2,1,57,2,101,8,59,16
u004426682,2,1236,116418,290,19,0,0,0,4,2,0,100,1,0,1,0,1
u004482945,73,413,19813,233,12,0,0,1,4,1,0,58,2,39,7,23,4
u004540546,4,226,55966,352,14,0,0,2,2,1,0,75,2,2,0,2,0
u004558747,2,20,5576,40,2,0,0,0,0,0,0,0,1,2,0,0,0
u004571281,12,26,5818,195,10,0,0,2,1,1,0,39,1,12,0,0,0
u004588079,3,89,11212,119,10,1,0,1,2,1,0,67,1,3,0,0,0
u004609303,2,1061,3002,159,3,0,0,0,2,0,0,0,2,0,0,2,0
u004615941,2,1062,14114,171,12,0,1,0,4,1,2,25,1,1,0,0,1
u004676431,4,152,26763,646,26,0,2,3,5,1,0,25,1,1,1,2,0
u004797437,15,851,46759,383,18,0,0,2,4,1,0,87,2,6,2,5,2
u004823354,53,43,9967,124,8,0,0,1,2,1,0,45,2,21,14,18,0
u004866846,1,17,3060,87,13,0,0,0,4,0,4,0,1,0,1,0,0
u004896190,4,56,13292,70,5,0,0,0,2,0,0,0,1,4,0,0,0
u004929098,5,116,5734,465,23,0,0,3,5,4,2,67,1,5,0,0,0
u005039821,2,158,28308,207,10,0,0,0,2,2,1,38,1,1,1,0,0
u005049222,1,144,16132,164,7,0,0,0,2,0,0,0,1,0,0,1,0
u005072763,1,29,9220,1632,53,0,4,5,7,6,0,33,1,0,0,1,0
u005155625,1,12,2820,70,6,0,0,1,1,0,0,0,1,0,1,0,0
u005179181,1,2206,9216,100,8,0,0,1,2,1,0,100,1,0,0,0,1
u005252551,4,18,2970,146,8,0,0,1,2,0,0,0,4,0,2,2,0
u005260772,8,12,2661,92,4,0,0,0,1,0,0,25,2,4,0,4,0
u005270341,18,897,26576,434,21,0,0,2,5,3,1,100,9,3,5,4,6
u005317312,52,388,20095,208,11,0,0,1,2,1,1,33,2,18,8,21,5
u005318559,16,296,28578,152,9,0,0,1,3,0,1,38,2,7,6,3,0
u005388620,11,403,3720,289,15,0,0,2,3,2,0,55,2,5,0,4,2
u005455269,2,20,5584,60,4,0,0,0,2,0,0,0,1,2,0,0,0
u005469124,30,67,7394,127,8,0,0,1,2,0,1,40,1,24,1,5,0
u005517181,6,22,7051,172,16,0,0,2,2,0,0,0,2,3,0,3,0
u005569385,50,377,11045,233,12,0,0,2,3,2,1,58,2,22,5,20,3
u005570675,20,499,27936,321,18,0,0,2,4,2,0,65,3,4,11,5,0
u005590580,1,73,67204,110,7,0,0,1,3,1,2,100,1,1,0,0,0
u005665917,4,2106,15868,284,14,0,0,2,2,1,0,100,4,0,3,0,1
u005677960,31,367,8539,188,11,0,0,2,3,1,1,58,3,14,8,6,3
u005739171,17,18,3978,129,6,0,0,1,1,1,0,28,2,7,5,3,0
u005788584,4,25,9116,272,16,0,0,1,6,4,0,100,2,0,4,0,0
u005815259,3,1175,21781,451,21,0,0,1,7,2,0,56,1,2,0,0,1
u005899289,9,558,22328,251,16,0,0,2,5,2,3,78,2,4,0,4,1
u005960309,9,263,9104,213,11,0,1,1,2,1,1,22,1,7,1,1,0
u005964097,7,110,5358,620,28,0,0,5,3,2,0,86,7,1,3,3,0
u005977014,58,332,18003,257,15,0,0,2,3,1,2,48,2,25,11,19,3
u005980116,1,20,5660,254,17,0,0,0,10,0,5,0,1,1,0,0,0
u006060436,2,72,20352,108,6,0,0,0,3,0,0,50,1,1,0,1,0
u006113431,1,17,2940,190,12,0,0,1,3,1,0,100,1,0,0,1,0
u006167882,19,620,4682,366,17,0,0,2,4,2,1,45,1,11,1,4,3
u006169802,1,30,8092,461,21,0,0,1,5,4,0,75,1,1,0,0,0
u006180579,3,43,3107,206,14,0,2,1,3,1,0,33,2,2,0,1,0
u006187236,14,321,3062,207,14,0,0,2,3,1,2,33,2,8,0,5,1
u006204672,4,1926,12943,1147,56,0,10,6,17,6,2,83,4,1,3,0,0
u006212230,3,17,3061,178,17,0,0,1,8,1,0,0,3,0,3,0,0
u006251926,68,453,61017,213,12,0,0,1,3,1,1,49,2,22,16,24,6
u006326793,15,38,6818,169,9,0,1,1,2,1,1,33,2,12,0,1,0
u006423369,11,48,5645,380,17,0,0,2,3,2,0,59,1,11,0,0,0
u006424459,10,22,5588,100,6,0,0,1,2,0,1,0,1,10,0,0,0
u006425112,132,220,8482,224,13,0,0,1,3,1,0,50,2,77,11,40,4
u006493569,29,564,166700,300,18,0,0,2,3,2,1,71,2,20,1,6,2
u006539592,2,15,5102,26,2,0,0,0,1,0,0,0,2,2,0,0,0
u006576567,15,352,13217,314,18,0,0,2,3,1,0,73,1,12,1,1,1
u006600745,5,34,3987,173,9,0,0,1,3,1,1,60,1,5,0,0,0
u006624099,1,22,9160,88,6,0,0,1,0,0,0,0,1,1,0,0,0
u006657459,79,152,7994,378,18,0,0,3,3,2,1,70,2,46,1,32,0
u006658015,2,28,9084,64,2,0,0,0,1,0,0,0,1,2,0,0,0
u006717664,1,35,5048,111,7,0,0,0,5,0,0,0,1,1,0,0,0
u006721330,17,17,2975,139,10,0,0,1,2,1,0,29,3,4,6,7,0
u006728642,5,956,28730,509,23,0,3,2,6,3,1,60,2,1,1,3,0
u006738234,59,239,8170,301,18,0,0,3,3,1,1,69,2,20,13,25,1
u006782785,21,28,9054,119,10,0,0,2,2,0,1,5,2,9,6,6,0
u006785216,2,18,2940,154,12,0,0,2,1,0,0,0,2,0,0,2,0
u006817280,31,178,47884,540,30,1,0,2,4,1,0,49,1,22,3,5,1
u006880673,292,500,137775,625,26,0,2,3,5,2,1,68,2,169,25,71,27
u006882546,2,976,48084,192,12,0,0,2,2,2,2,100,2,1,0,1,0
u006883624,187,576,87978,511,27,0,1,2,5,2,1,60,2,93,19,46,29
u006962308,10,459,14511,173,11,0,0,1,2,1,1,40,1,7,0,1,2
u007018214,47,632,112289,187,8,0,0,1,2,1,0,47,2,26,3,9,9
u007052573,5,12,2698,199,10,0,1,1,2,0,0,20,2,1,3,1,0
u007066325,18,573,4170,238,12,0,0,3,2,1,0,44,3,6,5,5,1
u007070633,11,29,4014,173,10,0,0,1,2,0,0,9,3,3,1,7,0
u007074599,14,249,10297,206,14,0,0,2,3,1,1,46,2,3,1,10,0
u007099475,1,26,9372,290,17,0,0,2,3,1,0,100,1,0,0,1,0
u007128301,12,218,13049,115,9,0,0,1,2,1,1,50,2,5,4,2,1
u007261655,21,139,56662,351,19,0,0,3,4,1,1,95,3,6,0,14,1
u007263493,208,294,28101,248,12,0,0,1,3,1,1,53,2,116,21,59,12
u007270338,107,4169,23570,904,46,0,1,5,8,3,1,75,5,26,30,32,16
u007291572,1,2106,44796,1040,45,0,1,8,7,2,0,100,1,0,0,1,0
u007299532,17,22,2990,132,7,0,0,1,2,1,1,53,1,16,0,1,0
u007346335,22,170,10718,145,9,0,1,1,2,1,0,34,3,7,5,9,1
u007381711,31,194,17439,327,17,0,1,2,4,1,0,52,2,17,2,11,1
u007462477,4,17,2971,65,2,0,0,1,0,0,0,25,1,4,0,0,0
u007463213,7,29,9123,116,5,0,0,1,1,0,0,0,1,6,0,1,0
u007464341,6,1413,25765,183,8,0,0,1,3,1,1,50,2,2,0,1,3
u007465618,1,662,119772,597,22,0,0,4,6,3,0,67,1,1,0,0,0
u007504025,10,81,17142,210,11,0,0,2,2,0,0,40,1,8,1,1,0
u007550226,192,221,10385,280,12,0,0,2,3,1,0,47,1,131,10,44,7
u007552026,1,17,3060,215,10,0,0,2,1,0,0,0,1,1,0,0,0
u007569200,9,747,14304,295,15,0,0,2,6,2,2,61,2,4,1,2,2
u007578272,3,40,5871,395,20,0,1,1,5,4,1,82,1,3,0,0,0
u007612078,9,45,16367,280,17,0,1,1,3,1,0,33,1,8,0,1,0
u007627455,14,393,9961,292,18,0,5,1,2,0,0,29,4,3,4,6,1
u007637377,22,159,20355,265,14,0,0,2,4,1,1,45,2,13,0,8,1
u007640222,1,17,2940,64,5,0,0,1,1,0,0,0,1,1,0,0,0
u007698380,30,41,4461,122,7,0,0,1,2,0,0,33,2,20,4,6,0
u007738720,24,115,8216,80,5,0,0,1,1,0,0,0,2,15,2,6,1
u007749073,3,20,5567,102,4,0,0,0,0,1,0,67,1,3,0,0,0
u007758012,4,540,8483,245,11,0,1,1,2,1,0,17,1,2,1,0,1
u007764502,6,18,3043,481,33,0,0,5,6,2,1,83,2,4,0,2,0
u007765868,2,94,3062,290,14,0,2,1,3,2,0,50,1,2,0,0,0
u007785897,41,385,8387,246,15,0,1,1,4,1,0,70,3,15,9,15,2
u007808656,94,498,92701,330,15,0,0,2,3,1,0,54,2,48,17,20,9
u007815330,1,27,9164,89,5,0,0,1,0,0,0,0,1,1,0,0,0
u007848713,3,17,3063,358,19,0,1,6,1,0,0,0,3,1,1,1,0
u007858722,14,34,5569,253,10,0,0,2,1,1,0,38,2,9,1,3,0
u007886915,66,329,19374,7979,304,0,94,3,13,3,1,84,2,30,11,22,3
u007906750,20,40,9445,213,14,0,0,3,2,1,1,50,2,12,0,8,0
u007931962,28,490,14391,280,16,0,0,2,5,1,2,18,3,7,2,16,3
u007991836,84,580,126035,296,16,0,0,2,4,2,1,75,2,39,11,23,11
u008022357,26,19,4857,118,7,0,0,1,1,0,0,19,1,20,1,5,0
u008071277,1,3300,6012,1189,38,0,0,8,2,2,0,0,1,1,0,0,0
u008078348,4,50,5359,202,10,0,0,1,2,0,0,25,1,2,0,2,0
u008079810,61,814,35356,346,19,0,0,2,4,2,3,69,2,31,1,20,9
u008118104,2,2106,13880,192,11,0,0,0,4,1,2,0,2,0,0,0,2
u008134456,23,631,11529,365,19,0,0,2,4,1,0,67,2,13,1,4,5
u008173855,2,18,2940,149,9,0,0,2,1,0,0,0,2,1,1,0,0
u008204061,6,23,7555,85,5,0,0,0,0,1,0,67,2,3,0,3,0
u008204901,3,28,9117,177,9,0,1,2,1,0,0,0,3,0,0,3,0
u008229752,1,17,2940,107,7,0,0,1,3,0,2,0,1,1,0,0,0
u008243861,1,17,2940,18,2,0,0,0,1,0,0,0,1,0,0,1,0
u008287995,1,24,9108,201,9,0,0,3,1,1,0,100,1,0,0,1,0
u008294172,2,17,2940,63,2,0,0,0,0,0,0,0,2,1,0,1,0
u008319785,1,20,5576,32,3,0,0,0,2,0,0,0,1,1,0,0,0
u008323723,49,313,10749,146,10,0,0,1,2,1,0,41,2,19,9,18,3
u008357982,146,195,8070,169,7,0,0,1,2,1,0,47,1,125,6,8,7
u008382444,4,23,9312,131,11,0,0,1,3,0,1,0,2,2,0,2,0
u008388455,5,18,2940,111,7,0,0,1,1,0,0,40,2,2,0,3,0
u008460867,6,771,9038,241,12,0,0,2,2,2,0,67,2,2,0,2,2
u008464939,4,122,27122,348,22,0,0,5,4,1,2,75,2,2,0,2,0
u008489560,7,17,2940,113,5,0,0,1,1,1,0,57,2,4,1,2,0
u008566194,1,22,9168,87,8,0,0,1,3,0,0,0,1,0,0,1,0
u008579852,1,18,2940,86,8,0,0,1,3,1,0,100,1,1,0,0,0
u008582165,39,167,8151,189,11,0,0,1,3,1,0,49,2,19,4,14,2
u008586830,8,50,12285,532,23,0,0,2,10,1,0,62,2,5,0,3,0
u008608569,22,1235,58250,227,10,0,0,1,3,2,1,86,2,6,6,4,6
u008627774,1,17,3064,81,5,0,0,1,0,0,0,0,1,1,0,0,0
u008645430,9,17,3008,195,13,0,1,1,5,1,0,50,1,7,1,1,0
u008655389,29,203,5802,250,14,0,0,2,3,1,0,55,1,18,5,4,2
u008718882,54,536,17441,276,14,0,0,2,3,1,1,49,2,28,1,22,3
u008772035,1,23,9088,48,1,0,0,0,0,0,0,0,1,1,0,0,0
u008801503,3,22,9285,142,15,1,0,1,4,0,4,0,2,2,0,1,0
u008841386,7,17,3009,123,13,0,0,1,6,0,2,0,7,1,4,2,0
u008911501,12,18,3476,108,8,0,0,1,2,0,0,8,2,4,7,1,0
u008942684,7,17,3029,302,16,0,3,1,5,1,1,57,2,3,0,4,0
u008992227,44,857,132744,790,39,0,0,3,10,2,0,63,2,22,4,10,8
u009041760,1,366,16592,190,16,0,0,2,4,1,0,0,1,1,0,0,0
u009043168,5,18,2964,72,3,0,0,1,0,0,0,0,2,2,3,0,0
u009073842,6,18,3022,194,12,0,0,2,3,0,1,33,1,6,0,0,0
u009101629,8,20,5595,110,5,0,0,0,1,0,0,25,2,4,0,3,0
u009102496,7,51,9802,143,9,0,0,1,2,1,0,43,2,4,2,1,0
u009141491,10,17,2976,125,7,0,0,1,4,0,0,0,5,1,1,8,0
u009219947,41,561,80363,314,16,0,0,2,3,1,1,62,2,23,5,9,4
u009248415,3,27,9093,60,3,0,0,1,1,0,0,0,3,1,0,2,0
u009249232,2,18,3060,258,10,0,0,4,1,0,0,0,2,0,0,2,0
u009281159,6,850,16169,187,9,0,0,1,3,1,3,50,2,4,0,0,2
u009288816,41,1298,32289,483,23,0,0,3,3,3,0,81,2,21,5,10,2
u009322794,3,20,5580,61,3,0,0,0,1,0,0,0,1,3,0,0,0
u009332121,21,1953,7330,260,10,0,0,1,3,1,0,45,1,19,0,0,2
u009348313,406,673,96186,414,21,0,1,2,4,2,1,66,2,224,26,94,62
u009414205,19,579,8362,235,11,0,0,1,2,1,0,58,2,10,3,3,3
u009447431,6,58,15471,166,10,0,0,1,3,0,1,0,1,5,0,1,0
u009460507,10,41,3548,274,15,0,0,3,4,1,0,70,2,3,1,6,0
u009467128,3,10,4629,104,6,0,0,0,4,0,0,0,1,3,0,0,0
u009468286,1,20,5984,289,14,0,0,0,4,2,0,50,1,1,0,0,0
u009487941,1,17,2940,86,6,0,0,1,0,0,0,0,1,1,0,0,0
u009584940,5,25,6674,90,6,0,0,1,3,0,2,0,1,0,2,3,0
u009590584,5,2217,47106,530,24,0,0,1,4,2,4,100,5,0,0,0,5
u009611473,2,150,9250,94,8,0,0,1,2,0,1,50,2,1,0,1,0
u009714515,2,17,2940,81,8,0,0,1,2,0,0,0,2,1,0,1,0
u009773980,2,315,6210,710,36,0,0,3,6,2,1,38,1,2,0,0,0
u009774873,2,2104,17076,220,18,0,0,1,5,3,2,100,2,0,0,0,2
u009787707,55,933,59018,240,16,0,0,1,4,1,2,60,2,19,3,20,13
u009853378,6,145,6212,935,46,0,2,3,9,4,0,72,1,6,0,0,0
u009885900,48,404,14984,310,18,0,0,2,4,2,1,56,2,29,2,11,6
u009902766,2,200,98530,288,16,0,0,0,4,2,2,50,1,2,0,0,0
u009961299,33,83,8033,320,13,0,1,1,2,1,0,37,2,25,4,4,0
u009980501,2,20,7356,100,3,0,0,0,0,2,0,100,2,1,0,1,0
u010004797,1,18,3060,96,5,0,0,2,2,0,0,0,1,1,0,0,0
u010069411,45,120,3863,168,10,0,1,1,3,0,1,38,2,16,8,19,2
u010070134,3,23,9083,95,8,0,0,1,1,1,0,67,3,1,1,1,0
u010072501,28,29,9387,294,17,0,5,2,2,0,1,32,1,23,1,4,0
u010075034,2,41,3126,387,18,0,0,2,3,2,0,50,1,1,1,0,0
