user_id,submission_count,avg_code_size,min_cpu_time,max_cpu_time,avg_memory,avg_total_lines,avg_line_spacing,avg_total_comments,avg_if_else_count,avg_total_variables,avg_loop_count,avg_capitalized_variable_names,avg_percentage_for_loops,acceptance_rate,submissions_per_month
u000488654,7,220,17,17,2992.57,11,0.16,0,1,3,0,2,43,28.57,7
u000502998,4,200.75,10,20,6381,13,0.02,0,1,3,2,3,100,100,4
u000513658,80,270.38,17,2227,34928.2,14,0.27,0,1,2,1,1,69,48.75,12
u000531457,1,5,0,0,0,1,0,0,0,0,0,0,0,0,1
u000540018,6,211.5,20,2205,15243.33,10,0.42,0,0,1,0,1,34,33.33,3
u000551081,1,272,5310,5310,5660,17,0.07,0,2,6,3,1,100,100,1
u000557170,144,1082.98,17,2211,36112.53,61,0.46,3,5,6,2,0,88,51.39,8
u000579017,13,321.08,18,2206,10423.69,14,0.14,0,2,2,0,1,39,53.85,5
u000579298,1,97,17,17,2940,9,0,0,1,3,1,3,100,100,1
u000623733,191,404.62,17,2216,30625.97,20,0.26,0,1,4,1,2,67,48.69,12
u000634997,11,357,62,3310,100334.18,23,0.41,0,2,4,1,4,73,27.27,11
u000644874,3,112.67,21,26,9040,5,0,0,0,0,0,1,34,33.33,3
u000660752,19,492.32,31,3308,31800,23,0.09,0,6,6,0,2,35,10.53,10
u000671615,2,105,25,34,9166,8,0,0,3,1,0,0,0,0,2
u000690114,14,127.71,17,2207,7474.86,7,0.26,0,0,0,0,1,15,28.57,4
u000698877,44,182.73,17,2207,14853.55,10,0.12,0,0,2,1,2,52,50,15
u000722083,8,153.88,17,262,7802.5,9,0.59,0,0,3,0,3,63,87.5,3
u000770457,18,165.11,17,2104,3014.67,13,0.27,0,1,2,1,0,67,50,18
u000820947,3,200.67,69,2209,87182.67,14,0.08,0,2,5,1,0,100,0,3
u000823402,12,202.67,17,2104,3779.33,14,0.3,0,1,4,0,0,42,58.33,6
u000840710,11,228,17,37,3379.64,12,0.08,0,1,3,0,1,46,54.55,4
u000842852,29,192.55,17,158,12486.07,12,0.21,0,1,3,0,3,42,51.72,8
u000875186,28,242.82,21,2411,135493.14,16,0,0,2,5,1,1,62,28.57,14
u000981235,3,161,17,17,2940,10,0,0,2,3,1,0,100,33.33,3
u000984928,2,74,25,27,9046,6,0,0,1,1,0,0,0,100,2
u000993683,6,443,17,2105,29134,24,0.27,3,0,5,1,1,100,33.33,3
u001024152,180,359.57,16,2217,36709.84,16,0.13,0,1,3,1,1,64,66.11,11
u001036276,22,243.95,17,2221,77351.27,11,0.12,0,1,3,0,0,55,40.91,8
u001041019,38,261.58,17,2208,16126.21,17,0.14,0,1,3,1,0,71,57.89,6
u001092553,1,431,800,800,15628,22,0.05,2,1,4,3,0,67,100,1
u001119849,1,1172,260,260,3064,59,0.26,1,6,9,7,0,72,100,1
u001166342,7,170.86,63,126,75421.71,9,0.02,0,1,2,1,2,72,57.14,7
u001166815,8,113.88,20,40,5580,6,0.05,0,0,0,0,0,50,100,3
u001199868,6,112.5,62,191,74316,6,0,0,0,1,0,0,50,100,2
u001204484,8,364,20,19650,23119,16,0.07,0,1,4,1,1,44,100,3
u001207097,6,144,21,25,9202,11,0.24,0,1,2,0,0,0,50,3
u001207659,12,313.83,17,65,3153.33,16,0,0,2,4,1,1,67,58.33,6
u001260022,2,147,17,17,3000,10,0.12,0,2,3,0,3,0,50,2
u001262101,1,531,30,30,5980,20,0.06,0,2,4,4,0,75,100,1
u001272273,2,124,17,18,2940,6,0.06,0,0,3,0,1,50,100,1
u001315626,6,295.17,26,155,12650.67,16,0.11,0,3,3,1,2,84,33.33,6
u001429691,1,104,17,17,2940,8,0,0,0,3,1,0,0,100,1
u001463970,26,196,17,54,3563.54,9,0,0,2,2,0,1,39,76.92,7
u001464994,6,123.5,20,24,9193.33,7,0.51,0,0,1,0,1,0,66.67,6
u001490106,122,280.91,17,2207,45175.84,17,0.15,0,2,3,1,1,63,57.38,12
u001491147,1,1716,206,206,15540,57,0.14,6,3,18,2,2,50,0,1
u001495709,19,152.47,17,2133,28929.26,9,0.05,0,1,1,0,1,29,57.89,4
u001517800,1,216,2104,2104,25060,7,0,0,0,3,1,2,100,0,1
u001547131,2,93,23,23,9160,9,0.17,0,1,3,0,2,0,50,2
u001565171,2,136.5,70,144,67532,9,0.32,0,0,3,1,0,50,100,2
u001577246,3,141,17,2105,29121.33,10,0.09,0,0,3,1,0,67,33.33,2
u001609307,11,189.64,17,81,4040.36,12,0.22,2,1,3,0,0,46,81.82,3
u001636577,1,72,205,205,9308,5,0,0,1,1,0,0,0,100,1
u001672659,1,132,10,10,2568,11,0.43,1,1,3,1,2,100,100,1
u001687078,39,211.26,17,2107,10690.05,10,0.05,0,1,2,1,1,58,53.85,5
u001689394,12,432.75,21,36,9123.33,19,0,0,5,3,1,0,84,8.33,12
u001695423,1,90,17,17,2940,9,0,0,3,1,0,0,0,100,1
u001746908,1,75,11,11,2568,2,0,0,0,0,0,0,0,0,1
u001751495,4,112.25,17,23,6046,8,0.41,0,1,1,0,0,0,0,2
u001769145,118,560.94,17,3356,166497.08,27,0.26,1,2,5,1,1,74,44.07,24
u001834182,39,113.28,17,2207,16658.15,7,0.13,0,1,1,0,1,34,71.79,10
u001839988,10,354.1,17,2206,10494,24,0.3,0,2,4,1,2,44,60,4
u002010345,35,173.11,0,40,5059.89,8,0.05,0,0,1,1,0,43,17.14,18
u002023395,9,86.44,17,203,8717.78,3,0,0,0,1,0,1,23,88.89,2
u002067779,1,67,30,30,9088,2,0,0,1,0,0,0,0,100,1
u002128847,1,27,20,20,5572,2,0,0,0,1,0,0,0,100,1
u002135808,7,153.29,24,2205,9095.43,10,0.14,0,1,2,0,0,36,57.14,4
u002166247,10,314.5,17,2104,11648,19,0.22,2,2,3,1,0,30,60,10
u002180223,8,174.75,20,80,5895.5,7,0.09,0,1,0,0,0,21,100,8
u002193969,25,352.84,0,20,3355.2,14,0,0,0,3,2,1,45,36,13
u002280517,16,364.75,20,80,5858.25,16,0.08,0,1,2,3,1,69,25,16
u002438394,4,255,17,2127,176582,13,0,0,1,4,2,1,100,50,4
u002459665,320,335.3,17,2205,17764.12,19,0.28,1,1,4,1,2,59,67.81,16
u002492076,8,107.88,20,90,5896,5,0.03,0,0,0,1,0,34,100,8
u002521668,1,25,17,17,2940,1,0,0,0,0,0,0,0,100,1
u002539468,102,653.64,17,2206,35699.22,28,0.19,3,3,4,1,1,64,67.65,11
u002611201,7,222.86,20,2207,32900.57,9,0.13,0,0,1,0,1,29,42.86,4
u002625175,72,529.74,17,3358,62136.11,30,0.47,0,2,4,2,1,74,50,15
u002663801,121,435.8,17,3312,79813.72,24,0.34,0,2,6,2,0,76,39.67,25
u002719504,1,42,17,17,2940,3,0,0,0,2,0,1,0,100,1
u002765126,21,672.05,63,2327,97459.05,34,0.55,2,3,4,1,1,54,57.14,11
u002813843,1,324,17,17,3064,22,0,0,5,3,1,0,0,100,1
u002824787,6,169.17,17,68,3249.33,8,0.01,0,1,2,1,2,67,66.67,6
u002889222,2,208,29,152,9132,13,0.18,0,2,4,1,1,50,100,2
u002904494,3,159.33,2104,2104,3224,11,0,0,0,3,2,0,100,0,3
u002919555,1,316,19,19,3444,17,0.14,1,2,4,1,0,0,100,1
u002921375,1,69,20,20,5548,7,0,0,1,2,0,0,0,100,1
u003018968,4,132,17,40,3110,9,0,0,1,2,1,1,75,75,2
u003019316,32,655.94,17,3326,88696.38,29,0.18,0,3,6,3,2,80,43.75,8
u003034853,7,300.43,18,694,9145.14,12,0,0,0,3,1,0,43,14.29,7
u003087820,1,135,17,17,2940,8,0.4,0,1,0,0,0,0,0,1
u003121914,2,479,109,113,3636,20,0.28,1,3,4,2,0,50,100,2
u003142309,50,654.62,19,2206,10928.16,30,0.26,3,3,4,1,1,46,20,17
u003157425,2,230,67,68,61766,15,0,0,3,2,1,0,0,50,2
u003181964,12,116.5,0,30,3798,6,0.13,0,0,1,0,0,42,16.67,6
u003294061,1,997,3030,3030,53212,43,0.14,2,4,6,3,1,34,100,1
u003309334,4,379.75,20,40000,10354,24,0.18,0,3,5,1,1,100,50,4
u003353838,2,175.5,18,18,3062,14,0.29,0,1,5,1,0,100,50,2
u003475507,104,322.85,17,2202,73911.15,18,0.43,0,2,3,1,1,76,46.15,15
u003501233,110,106.73,17,172,3954.69,7,0.21,0,0,1,0,1,20,49.09,11
u003505857,31,296.71,24,53,9367.61,9,0.23,1,1,1,0,1,13,74.19,16
u003545532,1,111,210,210,16052,6,0.33,0,0,2,0,0,0,0,1
u003581113,19,603.68,17,2104,6868.42,29,0.1,0,4,6,2,2,69,63.16,4
u003644389,73,322.95,17,2207,26762.58,20,0.32,0,2,4,1,1,66,36.99,15
u003647700,2,70,0,30,3824,6,0.14,0,0,1,0,0,50,50,1
u003652013,15,212.33,17,887,7598.4,14,0.49,0,1,3,1,1,74,46.67,4
u003684951,35,99.46,0,310,5559.43,4,0.04,0,0,0,0,1,27,94.29,7
u003762655,18,176,0,100,6509.56,8,0,0,1,1,1,0,26,55.56,18
u003849711,1,215,17,17,3060,15,0.27,0,1,5,1,0,100,100,1
u003855259,18,326.94,22,2206,17072.67,21,0.36,0,2,5,1,4,35,50,5
u003871484,1,57,17,17,2940,4,0,0,0,1,0,1,0,100,1
u003873207,9,1001.11,17,2119,52099.56,42,0.27,0,2,4,2,1,76,33.33,3
u003899575,6,230.5,25,2140,116408.67,10,0.24,0,0,3,0,2,17,66.67,3
u003926785,60,418.42,29,3310,152276.87,24,0.25,0,3,3,2,2,72,35,15
u003928116,38,102.95,17,20,2959.16,5,0.01,0,0,1,0,0,14,84.21,13
u003929306,1,320,20,20,5592,19,0.2,0,1,5,3,2,67,100,1
u003958598,37,259.32,17,2112,44041.51,15,0.38,0,1,2,0,2,65,48.65,10
u003984259,26,313.38,20,16060,9129.85,14,0.05,0,1,2,2,1,54,100,9
u003984315,2,45,20,20,5576,3,0,0,0,0,0,0,0,100,2
u004025573,128,310.87,17,2109,11697.84,21,0.42,1,2,3,1,2,61,55.47,12
u004062344,2,103.5,17,21,6116,8,0.34,0,0,2,0,0,0,100,2
u004066288,2,74.5,27,30,9136,5,0,0,1,1,0,0,0,50,2
u004108273,12,129.67,17,2206,10512,9,0.24,0,1,1,0,2,9,33.33,3
u004192101,10,530.8,20,24960,17279.6,26,0.15,1,0,5,3,2,72,60,5
u004208081,29,367.03,17,872,7327.03,22,0.36,0,2,4,1,0,76,55.17,4
u004233621,13,112.77,17,72,5304,6,0,0,0,0,0,0,24,30.77,7
u004240050,1,297,34,34,9120,22,0.11,1,7,2,0,0,0,100,1
u004271495,10,1087.7,18,2108,22123.2,54,0.69,0,2,5,2,1,80,20,10
u004312392,116,409.41,17,2210,68141.31,17,0.08,0,1,4,2,2,56,57.76,20
u004330503,4,114.75,20,20,5586,7,0,0,1,2,0,0,13,100,4
u004342119,2,88,26,27,9050,3,0,0,0,1,0,0,50,100,2
u004410499,3,166,20,30,5589.33,9,0,0,2,2,0,0,34,100,3
u004423772,184,492.21,17,2222,81784.28,20,0.05,0,3,5,1,1,57,54.89,27
u004426682,2,289.5,263,2210,116418,19,0.26,0,0,4,2,0,100,0,1
u004482945,73,232.97,16,3309,19812.6,11,0.03,0,1,3,1,1,59,53.42,19
u004540546,4,351.75,209,262,55966,14,0.34,0,1,2,0,0,75,50,4
u004558747,2,40,20,20,5576,2,0,0,0,0,0,0,0,100,2
u004571281,12,195,20,90,5818.33,10,0.01,0,1,1,1,0,39,100,12
u004588079,3,119.33,17,200,11212,10,0.58,0,0,2,1,0,67,100,2
u004609303,2,159,18,2104,3002,3,0,0,0,2,0,0,0,0,2
u004615941,2,171,18,2105,14114,12,0.19,1,0,4,1,2,25,50,1
u004676431,4,646.25,17,282,26763,26,0.01,1,3,5,0,1,25,25,2
u004797437,15,383.13,17,2135,46758.67,17,0.22,0,2,3,1,0,87,40,5
u004823354,53,124.32,21,203,9967.4,8,0.05,0,1,1,0,1,46,39.62,27
u004866846,1,87,17,17,3060,13,0.33,0,0,4,0,4,0,0,1
u004896190,4,70.25,17,166,13292,4,0.07,0,0,1,0,0,0,100,4
u004929098,5,465.4,20,360,5733.6,23,0.01,0,3,5,4,3,67,100,3
u005039821,2,207,27,289,28308,10,0.06,0,0,2,2,1,38,50,1
u005049222,1,164,144,144,16132,7,0.2,0,0,2,0,0,0,0,1
u005072763,1,1632,29,29,9220,53,0.16,4,5,7,6,0,34,0,1
u005155625,1,70,12,12,2820,6,0.25,0,1,1,0,0,0,0,1
u005179181,1,100,2206,2206,9216,8,0,0,1,2,1,0,100,0,1
u005252551,4,145.5,17,18,2970,8,0.2,0,1,1,0,0,0,0,4
u005260772,8,92.25,10,17,2661,4,0,0,0,1,0,0,25,50,3
u005270341,18,433.61,43,2108,26576,20,0.23,0,1,5,2,1,100,16.67,18
u005317312,52,208.46,17,2264,20095.15,10,0.02,0,1,1,0,1,33,34.62,9
u005318559,16,152.5,17,2211,28577.5,8,0.06,0,0,2,0,1,38,43.75,4
u005388620,11,288.64,17,2104,3720.36,15,0.13,0,1,3,1,0,55,45.45,6
u005455269,2,60,20,20,5584,3,0.16,0,0,2,0,0,0,100,2
u005469124,30,126.97,17,1142,7393.87,8,0.1,0,1,2,0,2,40,80,6
u005517181,6,171.67,17,31,7051.33,15,0.1,0,1,1,0,0,0,50,2
u005569385,50,233.18,17,2206,11045.12,11,0,0,1,3,1,1,59,44,17
u005570675,20,321.15,17,2107,27936.4,18,0.07,0,1,3,1,0,65,20,5
u005590580,1,110,73,73,67204,7,0,0,1,3,1,2,100,100,1
u005665917,4,283.5,2104,2109,15868,13,0.09,0,1,2,1,0,100,0,4
u005677960,31,188.23,17,2112,8538.58,11,0,0,1,2,1,1,59,45.16,16
u005739171,17,129.06,0,80,3978.35,6,0.02,0,0,1,1,0,29,41.18,9
u005788584,4,271.5,21,27,9116,16,0,0,1,6,4,0,100,0,4
u005815259,3,451.33,167,2105,21781.33,20,0.16,0,0,6,2,0,56,66.67,2
u005899289,9,250.67,26,2206,22327.56,16,0.08,0,2,4,1,3,78,44.44,5
u005960309,9,212.67,17,2206,9104.44,10,0.16,0,1,2,0,1,23,77.78,5
u005964097,7,620.43,0,660,5358.29,27,0.05,0,5,3,1,0,86,14.29,7
u005977014,58,256.95,22,2210,18002.97,15,0.07,0,2,3,1,2,49,43.1,20
u005980116,1,254,20,20,5660,17,0.18,0,0,10,0,5,0,100,1
u006060436,2,107.5,22,122,20352,6,0,0,0,3,0,0,50,50,2
u006113431,1,190,17,17,2940,12,0.22,0,1,3,1,0,100,0,1
u006167882,19,366.16,17,2104,4681.68,17,0.16,0,2,4,1,1,46,57.89,19
u006169802,1,461,30,30,8092,21,0.05,0,1,5,4,0,75,100,1
u006180579,3,205.67,17,94,3106.67,14,0.33,1,1,3,0,0,34,66.67,2
u006187236,14,207.43,17,2104,3062,13,0.16,0,1,3,1,2,34,57.14,14
u006204672,4,1147.25,1910,1945,12943,55,0,10,5,16,6,2,84,25,4
u006212230,3,178,17,17,3061.33,17,0.07,0,1,8,1,0,0,0,3
u006251926,68,212.85,17,2214,61016.71,11,0.22,0,1,3,0,1,49,32.35,12
u006326793,15,168.53,20,100,6818.4,9,0.22,1,0,1,0,1,34,80,3
u006423369,11,379.91,20,330,5645.09,17,0.09,0,2,2,2,1,60,100,11
u006424459,10,100.5,20,40,5587.6,6,0.01,0,0,2,0,1,0,100,10
u006425112,132,223.98,17,2108,8482.09,13,0.33,0,1,2,0,1,50,58.33,22
u006493569,29,299.83,17,2109,166700,17,0.28,0,1,3,1,1,71,68.97,4
u006539592,2,25.5,10,20,5102,2,0,0,0,1,0,0,0,100,1
u006576567,15,314.13,17,2108,13216.53,18,0.29,0,2,3,1,1,74,80,5
u006600745,5,172.6,17,98,3987.2,9,0.39,0,1,2,0,2,60,100,5
u006624099,1,88,22,22,9160,6,0.25,0,1,0,0,0,0,100,1
u006657459,79,378.38,17,2110,7994.28,17,0.09,0,2,3,1,1,71,58.23,8
u006658015,2,64.5,26,31,9084,2,0,0,0,1,0,0,0,100,2
u006717664,1,111,35,35,5048,7,0,0,0,5,0,0,0,100,1
u006721330,17,139.12,17,19,2975.29,10,0.26,0,1,1,0,1,30,23.53,5
u006728642,5,509.2,65,2207,28729.6,22,0,2,2,6,3,1,60,20,3
u006738234,59,300.73,17,2205,8169.69,18,0.31,0,3,3,1,1,70,33.9,10
u006782785,21,119.38,24,34,9053.9,10,0.46,0,1,2,0,2,5,42.86,21
u006785216,2,153.5,18,18,2940,12,0.22,0,2,1,0,0,0,0,2
u006817280,31,539.65,17,2208,47884.39,29,0.64,0,1,3,1,1,49,70.97,6
u006880673,292,624.51,17,2270,137775.33,26,0.15,1,2,5,2,2,69,57.88,49
u006882546,2,191.5,26,1927,48084,11,0.24,0,2,2,2,2,100,50,2
u006883624,187,510.5,17,2272,87978.48,27,0.39,1,2,5,1,1,60,49.73,17
u006962308,10,173,20,2207,14510.8,11,0.42,0,1,1,0,1,40,70,10
u007018214,47,187.49,17,2235,112288.77,8,0.01,0,0,2,1,0,47,55.32,8
u007052573,5,198.8,0,30,2697.6,9,0.01,0,1,1,0,0,20,20,5
u007066325,18,238,0,9990,4169.78,12,0.04,0,2,1,1,0,44,33.33,18
u007070633,11,173.09,17,75,4014.18,10,0.37,0,0,1,0,1,10,27.27,11
u007074599,14,206.21,17,2823,10297.43,14,0.27,0,2,3,0,2,47,21.43,5
u007099475,1,290,26,26,9372,17,0.33,0,2,3,1,0,100,0,1
u007128301,12,114.75,17,2104,13049.33,8,0.19,0,0,2,0,1,50,41.67,4
u007261655,21,351.1,17,2170,56661.71,19,0.15,0,2,4,1,2,96,28.57,6
u007263493,208,247.55,17,2228,28101.44,12,0.09,0,1,3,1,1,53,55.77,26
u007270338,107,903.53,0,29990,23570.21,46,0.17,1,4,7,2,2,75,24.3,27
u007291572,1,1040,2106,2106,44796,45,0.1,1,8,7,2,0,100,0,1
u007299532,17,131.71,17,66,2990.12,7,0,0,1,1,0,2,53,94.12,3
u007346335,22,144.73,20,2206,10717.82,8,0.05,0,1,1,0,0,35,31.82,22
u007381711,31,327.35,20,2206,17439.23,17,0.07,1,2,3,1,1,52,54.84,7
u007462477,4,64.75,17,17,2971,2,0.06,0,0,0,0,0,25,100,2
u007463213,7,116,25,35,9123.43,4,0,0,0,0,0,0,0,85.71,7
u007464341,6,182.83,27,2108,25764.67,8,0.09,0,0,2,0,1,50,33.33,3
u007465618,1,597,662,662,119772,22,0,0,4,6,3,0,67,100,1
u007504025,10,210.3,17,184,17141.6,10,0.08,0,1,2,0,1,40,80,3
u007550226,192,280.4,17,2206,10384.81,12,0.01,0,2,3,1,1,48,68.23,10
u007552026,1,215,17,17,3060,10,0.29,0,2,1,0,0,0,100,1
u007569200,9,294.56,17,2104,14303.56,14,0,0,1,5,1,2,62,44.44,3
u007578272,3,394.67,20,70,5870.67,20,0.12,1,1,5,3,1,83,100,3
u007612078,9,280,17,194,16367.11,17,0.06,0,1,2,1,0,34,88.89,5
u007627455,14,291.79,17,2104,9961.43,17,0.32,4,1,2,0,1,29,21.43,14
u007637377,22,265.41,20,2211,20355.09,14,0.1,0,1,3,1,1,46,59.09,6
u007640222,1,64,17,17,2940,5,0,0,1,1,0,0,0,100,1
u007698380,30,121.67,17,253,4460.53,7,0.01,0,1,2,0,1,34,66.67,6
u007738720,24,80.29,17,2276,8216.17,5,0.01,0,0,0,0,1,0,62.5,8
u007749073,3,101.67,20,20,5566.67,4,0,0,0,0,1,0,67,100,3
u007758012,4,244.75,18,2105,8483,11,0.14,0,0,2,0,0,17,50,2
u007764502,6,481,17,20,3042.67,33,0.43,0,4,5,1,1,84,66.67,2
u007765868,2,290,17,170,3062,13,0.18,1,1,3,1,1,50,100,2
u007785897,41,245.61,17,2104,8386.83,15,0.26,0,1,3,1,1,71,36.59,11
u007808656,94,329.94,17,2738,92701.28,14,0.05,0,2,3,1,1,54,51.06,5
u007815330,1,89,27,27,9164,5,0,0,1,0,0,0,0,100,1
u007848713,3,358.33,17,17,3062.67,19,0.13,0,5,1,0,0,0,33.33,3
u007858722,14,253.29,0,100,5568.57,10,0.04,0,1,0,1,0,39,64.29,14
u007886915,66,7978.92,17,2208,19373.7,304,0.21,93,3,12,2,2,85,45.45,11
u007906750,20,213.3,17,156,9444.8,14,0.28,0,2,2,0,2,50,60,5
u007931962,28,280.07,17,2206,14390.71,15,0.24,0,1,5,0,3,18,25,6
u007991836,84,295.64,17,2189,126034.67,15,0.28,0,1,3,1,2,76,46.43,17
u008022357,26,118.19,17,25,4857.23,7,0.18,0,1,1,0,1,20,76.92,13
u008071277,1,1189,3300,3300,6012,38,0.16,0,8,2,2,0,0,100,1
u008078348,4,202,17,149,5359,10,0.14,0,1,2,0,0,25,50,2
u008079810,61,346.21,17,2209,35356.2,19,0.19,0,1,4,2,3,70,50.82,16
u008118104,2,192.5,2104,2108,13880,11,0.26,0,0,4,1,2,0,0,2
u008134456,23,365.09,17,2104,11528.52,19,0.35,0,1,4,1,0,67,56.52,4
u008173855,2,149,17,18,2940,9,0.24,0,1,1,0,0,0,50,2
u008204061,6,84.83,20,30,7555.33,4,0.17,0,0,0,0,0,67,50,3
u008204901,3,177,26,30,9117.33,9,0,1,2,1,0,0,0,0,3
u008229752,1,107,17,17,2940,7,0,0,1,3,0,2,0,100,1
u008243861,1,18,17,17,2940,2,0,0,0,1,0,0,0,0,1
u008287995,1,201,24,24,9108,9,0,0,3,1,1,0,100,0,1
u008294172,2,63,17,17,2940,2,0,0,0,0,0,0,0,50,2
u008319785,1,32,20,20,5576,3,0,0,0,2,0,0,0,100,1
u008323723,49,145.55,16,3309,10749.14,10,0.24,0,1,1,0,1,41,38.78,17
u008357982,146,168.82,17,2109,8070.36,7,0.02,0,0,2,0,1,48,85.62,21
u008382444,4,131,20,24,9312,11,0.48,0,1,3,0,1,0,50,4
u008388455,5,111.2,17,19,2940,7,0.2,0,0,1,0,0,40,40,3
u008460867,6,241.33,23,2206,9038,12,0,0,2,2,1,0,67,33.33,6
u008464939,4,348.5,116,127,27122,22,0.11,0,5,3,0,2,75,50,4
u008489560,7,113.43,17,18,2940,5,0,0,0,1,0,0,58,57.14,4
u008566194,1,87,22,22,9168,8,0.17,0,1,3,0,0,0,0,1
u008579852,1,86,18,18,2940,8,0.17,0,1,3,1,0,100,100,1
u008582165,39,189.46,17,2104,8151.08,10,0.1,0,0,2,0,1,49,48.72,4
u008586830,8,532,27,160,12285,23,0.12,0,2,9,0,0,63,62.5,8
u008608569,22,227.45,17,2208,58250.36,10,0.01,0,0,3,1,1,87,27.27,5
u008627774,1,81,17,17,3064,5,0,0,1,0,0,0,0,100,1
u008645430,9,195.44,17,18,3007.56,13,0.14,0,1,4,0,0,50,77.78,5
u008655389,29,249.66,17,2104,5801.52,13,0.4,0,1,2,0,1,56,62.07,5
u008718882,54,275.93,18,2335,17441.04,14,0.12,0,1,3,1,2,49,51.85,14
u008772035,1,48,23,23,9088,1,0,0,0,0,0,0,0,100,1
u008801503,3,141.67,22,22,9285.33,14,0.52,0,0,4,0,4,0,66.67,3
u008841386,7,122.57,17,18,3008.57,12,0.3,0,1,5,0,2,0,14.29,7
u008911501,12,107.92,17,23,3476,7,0,0,1,2,0,0,9,33.33,6
u008942684,7,301.71,17,19,3028.57,15,0.27,2,0,5,1,1,58,42.86,4
u008992227,44,789.66,17,2227,132743.64,38,0.25,0,3,9,2,0,63,50,11
u009041760,1,190,366,366,16592,16,0.07,0,2,4,1,0,0,100,1
u009043168,5,72,17,20,2964,3,0,0,0,0,0,0,0,40,5
u009073842,6,193.83,17,20,3022,12,0.08,0,1,2,0,1,34,100,3
u009101629,8,110.38,20,20,5595,4,0,0,0,1,0,1,25,50,8
u009102496,7,142.57,17,134,9802.29,8,0.21,0,1,1,0,0,43,57.14,4
u009141491,10,125.1,17,18,2976,7,0.17,0,1,4,0,0,0,10,10
u009219947,41,314.49,17,2219,80362.73,15,0.18,0,2,3,1,2,62,56.1,7
u009248415,3,59.67,26,29,9093.33,2,0,0,0,0,0,0,0,33.33,3
u009249232,2,258.5,18,18,3060,10,0,0,3,1,0,0,0,0,2
u009281159,6,187.17,26,2206,16169.33,9,0.1,0,0,3,0,3,50,66.67,3
u009288816,41,482.66,0,20000,32289.17,22,0.18,0,3,2,3,1,82,51.22,9
u009322794,3,61.33,20,20,5580,3,0,0,0,0,0,0,0,100,3
u009332121,21,259.86,20,19990,7330.48,10,0,0,1,2,1,0,45,90.48,11
u009348313,406,414.27,17,3346,96186.04,20,0.08,1,2,4,2,2,66,55.17,22
u009414205,19,235.11,17,2105,8362.32,11,0.12,0,1,2,0,1,58,52.63,5
u009447431,6,165.67,21,108,15470.67,9,0.08,0,1,2,0,1,0,83.33,6
u009460507,10,273.6,22,171,3547.6,15,0.15,0,3,3,0,0,70,30,5
u009467128,3,104.33,10,10,4629.33,6,0.05,0,0,4,0,0,0,100,3
u009468286,1,289,20,20,5984,14,0.18,0,0,4,2,0,50,100,1
u009487941,1,86,17,17,2940,6,0.25,0,1,0,0,0,0,100,1
u009584940,5,89.6,17,33,6673.6,6,0,0,0,2,0,2,0,0,2
u009590584,5,529.8,2206,2259,47105.6,24,0.14,0,0,4,1,4,100,0,5
u009611473,2,93.5,82,219,9250,8,0.34,0,1,1,0,1,50,50,2
u009714515,2,81,17,17,2940,8,0.4,0,1,2,0,0,0,50,2
u009773980,2,709.5,20,610,6210,36,0.04,0,3,6,2,1,38,100,2
u009774873,2,220.5,2104,2104,17076,18,0.22,0,1,5,3,2,100,0,2
u009787707,55,240.09,25,3333,59018.33,15,0.21,0,1,4,1,2,60,34.55,19
u009853378,6,934.83,20,420,6212,46,0.24,2,3,9,3,0,73,100,3
